CRUISE,VESSEL,HAUL,SPECIES_CODE,SPECIMENID,SEX,LENGTH,WEIGHT,AGE,age_grp
201901,143,12,30060,34,1,430,1214,50,NA
201901,143,13,30060,39,1,390,745,57,NA
201901,143,14,30060,45,1,460,1218,48,NA
201901,143,125,30060,225,2,500,1679,51,NA
201901,143,240,30060,451,2,450,1082,41,NA
201901,143,244,30060,464,1,380,714,40,NA
201901,143,267,30060,539,1,390,740,59,NA
201901,143,287,30060,618,2,470,1436,42,NA
201901,143,16,30060,49,3,120,21,2,1
201901,143,264,30060,534,2,180,83,3,1
201901,143,74,30060,153,1,340,606,9,1
201901,143,264,30060,535,1,210,130,3,1
201901,143,16,30060,50,3,110,18,2,1
201901,143,71,30060,136,1,200,94,3,1
201901,143,239,30060,445,2,290,323,6,1
201901,143,11,30060,32,1,340,503,9,1
201901,143,269,30060,551,2,150,42,2,1
201901,143,48,30060,106,1,350,514,9,1
201901,143,263,30060,528,3,130,26,2,1
201901,143,42,30060,79,2,300,362,5,1
201901,143,42,30060,80,2,220,131,3,1
201901,143,49,30060,107,2,330,414,6,1
201901,143,4,30060,15,2,330,467,8,1
201901,143,281,30060,587,1,150,45,3,1
201901,143,252,30060,507,2,260,217,5,1
201901,143,43,30060,82,1,220,143,3,1
201901,143,210,30060,375,2,330,487,9,1
201901,143,280,30060,584,1,210,119,3,1
201901,143,34,30060,67,1,290,275,5,1
201901,143,249,30060,490,1,190,103,3,1
201901,143,149,30060,254,1,380,665,19,10
201901,143,147,30060,242,2,400,837,15,10
201901,143,48,30060,105,1,360,568,10,10
201901,143,146,30060,241,1,380,742,18,10
201901,143,241,30060,453,1,380,754,15,10
201901,143,147,30060,243,2,360,617,12,10
201901,143,125,30060,227,1,370,823,15,10
201901,143,76,30060,156,2,390,783,16,10
201901,143,77,30060,162,1,360,590,10,10
201901,143,77,30060,163,1,370,637,11,10
201901,143,81,30060,183,1,390,777,16,10
201901,143,4,30060,13,1,350,534,11,10
201901,143,148,30060,247,1,390,900,19,10
201901,143,164,30060,289,1,380,719,18,10
201901,143,72,30060,145,1,330,463,10,10
201901,143,14,30060,46,1,370,697,13,10
201901,143,255,30060,511,1,360,588,13,10
201901,143,3,30060,7,1,340,605,10,10
201901,143,69,30060,132,2,420,893,18,10
201901,143,275,30060,569,1,370,705,14,10
201901,143,147,30060,244,2,380,680,13,10
201901,143,73,30060,150,1,350,583,11,10
201901,143,220,30060,394,1,380,713,23,20
201901,143,200,30060,357,2,410,849,24,20
201901,143,194,30060,335,2,400,818,22,20
201901,143,195,30060,337,1,380,798,21,20
201901,143,268,30060,546,2,360,721,20,20
201901,143,283,30060,596,1,390,944,28,20
201901,143,100,30060,205,2,440,1084,20,20
201901,143,171,30060,304,1,390,801,21,20
201901,143,164,30060,287,2,400,786,23,20
201901,143,287,30060,616,2,430,1098,26,20
201901,143,38,30060,76,1,430,998,26,20
201901,143,219,30060,393,2,390,728,21,20
201901,143,86,30060,194,1,400,945,22,20
201901,143,267,30060,542,2,380,709,25,20
201901,143,92,30060,197,2,430,1158,27,20
201901,143,31,30060,55,2,430,1010,26,20
201901,143,232,30060,423,2,430,1009,27,20
201901,143,225,30060,401,2,400,819,25,20
201901,143,132,30060,230,2,430,933,21,20
201901,143,207,30060,366,2,390,753,22,20
201901,143,112,30060,216,2,440,1178,27,20
201901,143,169,30060,299,2,400,843,22,20
201901,143,156,30060,270,1,410,904,31,30
201901,143,220,30060,398,2,410,935,34,30
201901,143,200,30060,356,1,430,965,31,30
201901,143,207,30060,364,1,390,847,36,30
201901,143,268,30060,543,1,380,875,31,30
201901,143,37,30060,70,2,430,1108,37,30
201901,143,213,30060,384,2,400,867,31,30
201901,143,210,30060,374,2,420,827,34,30
201901,143,14,30060,44,2,460,1368,30,30
201901,143,226,30060,408,1,390,833,33,30
201901,143,31,30060,56,2,440,1453,30,30
201901,143,169,30060,298,1,400,790,30,30
201901,143,31,30060,53,1,440,1165,30,30
201901,143,38,30060,75,1,450,983,32,30
201901,143,213,30060,383,2,420,886,30,30
201901,143,13,30060,41,2,380,712,32,30
201901,143,50,30060,114,1,400,848,31,30
201901,143,214,30060,392,2,410,919,31,30
201901,143,225,30060,399,2,420,893,30,30
201901,143,229,30060,420,2,430,1001,33,30
201901,143,198,30060,351,2,410,1007,30,30
201901,143,278,30060,579,1,450,1500,30,30
